Date,Start (ET),Visitor/Neutral,PTS_Visitor,Home/Neutral,PTS_Home,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,Game_Code
2019-02-08,9:30p,Minnesota Timberwolves,117,New Orleans Pelicans,122,Box Score,,16980,Smoothie King Center,,08022019_min_no
2019-02-08,7:00p,Denver Nuggets,110,Philadelphia 76ers,117,Box Score,,20627,Wells Fargo Center,,08022019_den_phi
2019-02-08,9:00p,Golden State Warriors,117,Phoenix Suns,107,Box Score,,17081,Talking Stick Resort Arena,,08022019_gs_phx
2019-02-08,10:00p,Miami Heat,96,Sacramento Kings,102,Box Score,,17583,Golden 1 Center,,08022019_mia_sac
2019-02-08,7:00p,Cleveland Cavaliers,106,Washington Wizards,119,Box Score,,16682,Capital One Arena,,08022019_cle_wsh
2019-02-09,7:30p,Charlotte Hornets,129,Atlanta Hawks,120,Box Score,,15048,State Farm Arena,,09022019_cha_atl
2019-02-09,8:00p,Los Angeles Clippers,123,Boston Celtics,112,Box Score,,18624,TD Garden,,09022019_lac_bos
2019-02-09,8:00p,Washington Wizards,134,Chicago Bulls,125,Box Score,,19942,United Center,,09022019_wsh_chi
2019-02-09,8:30p,Oklahoma City Thunder,117,Houston Rockets,112,Box Score,,18061,Toyota Center,,09022019_okc_hou
2019-02-09,7:00p,Cleveland Cavaliers,90,Indiana Pacers,105,Box Score,,17923,Bankers Life Fieldhouse,,09022019_cle_ind
2019-02-09,8:00p,New Orleans Pelicans,90,Memphis Grizzlies,99,Box Score,,16841,FedEx Forum,,09022019_no_mem
2019-02-09,9:00p,Orlando Magic,103,Milwaukee Bucks,83,Box Score,,17812,Fiserv Forum,,09022019_orl_mil
2019-02-09,7:30p,Toronto Raptors,104,New York Knicks,99,Box Score,,18886,Madison Square Garden (IV),,09022019_tor_ny
2019-02-09,5:00p,San Antonio Spurs,105,Utah Jazz,125,Box Score,,18306,Vivint Smart Home Arena,,09022019_sa_uta
2019-02-10,7:30p,Orlando Magic,124,Atlanta Hawks,108,Box Score,,13370,State Farm Arena,,10022019_orl_atl
2019-02-10,3:00p,Portland Trail Blazers,101,Dallas Mavericks,102,Box Score,,20340,American Airlines Center,,10022019_por_dal
2019-02-10,8:30p,Miami Heat,118,Golden State Warriors,120,Box Score,,19596,Oracle Arena,,10022019_mia_gs
2019-02-10,3:30p,Los Angeles Lakers,120,Philadelphia 76ers,143,Box Score,,20683,Wells Fargo Center,,10022019_lal_phi
2019-02-10,6:00p,Phoenix Suns,104,Sacramento Kings,117,Box Score,,17583,Golden 1 Center,,10022019_phx_sac
2019-02-11,8:00p,Milwaukee Bucks,112,Chicago Bulls,99,Box Score,,18833,United Center,,11022019_mil_chi
2019-02-11,7:00p,New York Knicks,104,Cleveland Cavaliers,107,Box Score,,19432,Quicken Loans Arena,,11022019_ny_cle
2019-02-11,9:00p,Miami Heat,87,Denver Nuggets,103,Box Score,,18378,Pepsi Center,,11022019_mia_den
2019-02-11,7:00p,Washington Wizards,112,Detroit Pistons,121,Box Score,,15246,Little Caesars Arena,,11022019_wsh_det
2019-02-11,8:00p,Dallas Mavericks,104,Houston Rockets,120,Box Score,,18055,Toyota Center,,11022019_dal_hou
2019-02-11,7:00p,Charlotte Hornets,90,Indiana Pacers,99,Box Score,,15734,Bankers Life Fieldhouse,,11022019_cha_ind
2019-02-11,8:00p,Los Angeles Clippers,120,Minnesota Timberwolves,130,Box Score,,13782,Target Center,,11022019_lac_min
2019-02-11,8:00p,Portland Trail Blazers,111,Oklahoma City Thunder,120,Box Score,,18203,Chesapeake Energy Arena,,11022019_por_okc
2019-02-11,7:30p,Brooklyn Nets,125,Toronto Raptors,127,Box Score,,19800,Scotiabank Arena,,11022019_bkn_tor
2019-02-12,7:30p,Los Angeles Lakers,113,Atlanta Hawks,117,Box Score,,16824,State Farm Arena,,12022019_lal_atl
2019-02-12,10:30p,Utah Jazz,108,Golden State Warriors,115,Box Score,,19596,Oracle Arena,,12022019_uta_gs
2019-02-12,8:00p,San Antonio Spurs,108,Memphis Grizzlies,107,Box Score,,13788,FedEx Forum,,12022019_sa_mem
2019-02-12,8:00p,Orlando Magic,118,New Orleans Pelicans,88,Box Score,,15733,Smoothie King Center,,12022019_orl_no
2019-02-12,8:00p,Boston Celtics,112,Philadelphia 76ers,109,Box Score,,20582,Wells Fargo Center,,12022019_bos_phi
2019-02-13,7:30p,Detroit Pistons,110,Boston Celtics,118,Box Score,,18624,TD Garden,,13022019_det_bos
2019-02-13,8:00p,Memphis Grizzlies,110,Chicago Bulls,122,Box Score,,19114,United Center,,13022019_mem_chi
2019-02-13,7:00p,Brooklyn Nets,148,Cleveland Cavaliers,139,Box Score,3OT,17434,Quicken Loans Arena,,13022019_bkn_cle
2019-02-13,8:30p,Miami Heat,112,Dallas Mavericks,101,Box Score,,20364,American Airlines Center,,13022019_mia_dal
2019-02-13,9:00p,Sacramento Kings,118,Denver Nuggets,120,Box Score,,17938,Pepsi Center,,13022019_sac_den
2019-02-13,7:00p,Milwaukee Bucks,106,Indiana Pacers,97,Box Score,,17311,Bankers Life Fieldhouse,,13022019_mil_ind
2019-02-13,10:30p,Phoenix Suns,107,Los Angeles Clippers,134,Box Score,,17703,STAPLES Center,,13022019_phx_lac
2019-02-13,8:00p,Houston Rockets,111,Minnesota Timberwolves,121,Box Score,,15131,Target Center,,13022019_hou_min
2019-02-13,7:30p,Philadelphia 76ers,126,New York Knicks,111,Box Score,,18983,Madison Square Garden (IV),,13022019_phi_ny
2019-02-13,10:30p,Golden State Warriors,107,Portland Trail Blazers,129,Box Score,,19549,Moda Center,,13022019_gs_por
2019-02-13,7:30p,Washington Wizards,120,Toronto Raptors,129,Box Score,,19800,Scotiabank Arena,,13022019_wsh_tor
2019-02-14,7:30p,New York Knicks,106,Atlanta Hawks,91,Box Score,,14179,State Farm Arena,,14022019_ny_atl
2019-02-14,8:00p,Oklahoma City Thunder,122,New Orleans Pelicans,131,Box Score,,15686,Smoothie King Center,,14022019_okc_no
2019-02-14,7:00p,Charlotte Hornets,89,Orlando Magic,127,Box Score,,18846,Amway Center,,14022019_cha_orl
2019-02-21,7:30p,Portland Trail Blazers,113,Brooklyn Nets,99,Box Score,,17732,Barclays Center,,21022019_por_bkn
2019-02-21,7:00p,Phoenix Suns,98,Cleveland Cavaliers,111,Box Score,,19022,Quicken Loans Arena,,21022019_phx_cle
2019-02-21,10:30p,Sacramento Kings,123,Golden State Warriors,125,Box Score,,19596,Oracle Arena,,21022019_sac_gs
2019-02-21,10:30p,Houston Rockets,106,Los Angeles Lakers,111,Box Score,,18997,STAPLES Center,,21022019_hou_lal
2019-02-21,8:00p,Boston Celtics,97,Milwaukee Bucks,98,Box Score,,17926,Fiserv Forum,,21022019_bos_mil
2019-02-21,7:00p,Miami Heat,102,Philadelphia 76ers,106,Box Score,,20505,Wells Fargo Center,,21022019_mia_phi
2019-02-22,7:30p,Detroit Pistons,125,Atlanta Hawks,122,Box Score,,14067,State Farm Arena,,22022019_det_atl
2019-02-22,7:00p,Washington Wizards,110,Charlotte Hornets,123,Box Score,,15572,Spectrum Center,,22022019_wsh_cha
2019-02-22,8:30p,Denver Nuggets,114,Dallas Mavericks,104,Box Score,,20382,American Airlines Center,,22022019_den_dal
2019-02-22,7:00p,New Orleans Pelicans,111,Indiana Pacers,126,Box Score,,16962,Bankers Life Fieldhouse,,22022019_no_ind
2019-02-22,8:00p,Los Angeles Clippers,112,Memphis Grizzlies,106,Box Score,,16444,FedEx Forum,,22022019_lac_mem
2019-02-22,7:30p,Minnesota Timberwolves,115,New York Knicks,104,Box Score,,19096,Madison Square Garden (IV),,22022019_min_ny
2019-02-22,9:30p,Utah Jazz,147,Oklahoma City Thunder,148,Box Score,2OT,18203,Chesapeake Energy Arena,,22022019_uta_okc
2019-02-22,7:00p,Chicago Bulls,110,Orlando Magic,109,Box Score,,18846,Amway Center,,22022019_chi_orl
2019-02-22,7:00p,San Antonio Spurs,117,Toronto Raptors,120,Box Score,,20058,Scotiabank Arena,,22022019_sa_tor
2019-02-23,7:00p,Phoenix Suns,112,Atlanta Hawks,120,Box Score,,15214,State Farm Arena,,23022019_phx_atl
2019-02-23,7:00p,Brooklyn Nets,117,Charlotte Hornets,115,Box Score,,19158,Spectrum Center,,23022019_bkn_cha
2019-02-23,8:00p,Boston Celtics,116,Chicago Bulls,126,Box Score,,21295,United Center,,23022019_bos_chi
2019-02-23,7:00p,Memphis Grizzlies,107,Cleveland Cavaliers,112,Box Score,,19432,Quicken Loans Arena,,23022019_mem_cle
2019-02-23,8:30p,Houston Rockets,118,Golden State Warriors,112,Box Score,,19596,Oracle Arena,,23022019_hou_gs
2019-02-23,7:30p,Detroit Pistons,119,Miami Heat,96,Box Score,,19600,AmericanAirlines Arena,,23022019_det_mia
2019-02-23,8:30p,Minnesota Timberwolves,128,Milwaukee Bucks,140,Box Score,,17972,Fiserv Forum,,23022019_min_mil
2019-02-23,7:00p,Los Angeles Lakers,115,New Orleans Pelicans,128,Box Score,,18626,Smoothie King Center,,23022019_lal_no
2019-02-23,8:00p,Sacramento Kings,119,Oklahoma City Thunder,116,Box Score,,18203,Chesapeake Energy Arena,,23022019_sac_okc
2019-02-23,1:00p,Portland Trail Blazers,130,Philadelphia 76ers,115,Box Score,,20619,Wells Fargo Center,,23022019_por_phi
2019-02-23,10:00p,Dallas Mavericks,109,Utah Jazz,125,Box Score,,18306,Vivint Smart Home Arena,,23022019_dal_uta
2019-02-23,7:00p,Indiana Pacers,119,Washington Wizards,112,Box Score,,19648,Capital One Arena,,23022019_ind_wsh
2019-02-24,5:00p,Los Angeles Clippers,96,Denver Nuggets,123,Box Score,,19956,Pepsi Center,,24022019_lac_den
2019-02-24,7:30p,San Antonio Spurs,118,New York Knicks,130,Box Score,,18019,Madison Square Garden (IV),,24022019_sa_ny
2019-02-24,3:30p,Orlando Magic,113,Toronto Raptors,98,Box Score,,19800,Scotiabank Arena,,24022019_orl_tor
2019-02-25,7:30p,San Antonio Spurs,85,Brooklyn Nets,101,Box Score,,13479,Barclays Center,,25022019_sa_bkn
2019-02-25,7:00p,Golden State Warriors,121,Charlotte Hornets,110,Box Score,,19419,Spectrum Center,,25022019_gs_cha
2019-02-25,8:00p,Milwaukee Bucks,117,Chicago Bulls,106,Box Score,,20936,United Center,,25022019_mil_chi
2019-02-25,7:00p,Portland Trail Blazers,123,Cleveland Cavaliers,110,Box Score,,19432,Quicken Loans Arena,,25022019_por_cle
2019-02-25,7:00p,Indiana Pacers,109,Detroit Pistons,113,Box Score,,15321,Little Caesars Arena,,25022019_ind_det
2019-02-25,8:00p,Atlanta Hawks,111,Houston Rockets,119,Box Score,,18055,Toyota Center,,25022019_atl_hou
2019-02-25,10:30p,Dallas Mavericks,112,Los Angeles Clippers,121,Box Score,,19068,STAPLES Center,,25022019_dal_lac
2019-02-25,8:00p,Los Angeles Lakers,105,Memphis Grizzlies,110,Box Score,,17794,FedEx Forum,,25022019_lal_mem
2019-02-25,7:30p,Phoenix Suns,124,Miami Heat,121,Box Score,,19600,AmericanAirlines Arena,,25022019_phx_mia
2019-02-25,8:00p,Sacramento Kings,105,Minnesota Timberwolves,112,Box Score,,13691,Target Center,,25022019_sac_min
2019-02-25,8:00p,Philadelphia 76ers,111,New Orleans Pelicans,110,Box Score,,17194,Smoothie King Center,,25022019_phi_no
2019-02-26,10:30p,Oklahoma City Thunder,112,Denver Nuggets,121,Box Score,,18378,Pepsi Center,,26022019_okc_den
2019-02-26,7:30p,Orlando Magic,103,New York Knicks,108,Box Score,,17833,Madison Square Garden (IV),,26022019_orl_ny
2019-02-26,8:00p,Boston Celtics,95,Toronto Raptors,118,Box Score,,19800,Scotiabank Arena,,26022019_bos_tor
2019-02-27,7:30p,Minnesota Timberwolves,123,Atlanta Hawks,131,Box Score,OT,14101,State Farm Arena,,27022019_min_atl
2019-02-27,8:00p,Portland Trail Blazers,97,Boston Celtics,92,Box Score,,18624,TD Garden,,27022019_por_bos
2019-02-27,7:30p,Washington Wizards,125,Brooklyn Nets,116,Box Score,,13683,Barclays Center,,27022019_wsh_bkn
2019-02-27,7:00p,Houston Rockets,118,Charlotte Hornets,113,Box Score,,17903,Spectrum Center,,27022019_hou_cha
2019-02-27,8:30p,Indiana Pacers,101,Dallas Mavericks,110,Box Score,,19978,American Airlines Center,,27022019_ind_dal
2019-02-27,10:30p,New Orleans Pelicans,119,Los Angeles Lakers,125,Box Score,,18997,STAPLES Center,,27022019_no_lal
2019-02-27,8:00p,Chicago Bulls,109,Memphis Grizzlies,107,Box Score,,13711,FedEx Forum,,27022019_chi_mem
2019-02-27,7:30p,Golden State Warriors,125,Miami Heat,126,Box Score,,19647,AmericanAirlines Arena,,27022019_gs_mia
2019-02-27,10:00p,Milwaukee Bucks,141,Sacramento Kings,140,Box Score,OT,17583,Golden 1 Center,,27022019_mil_sac
2019-02-27,8:30p,Detroit Pistons,93,San Antonio Spurs,105,Box Score,,18354,AT&T Center,,27022019_det_sa
2019-02-27,9:00p,Los Angeles Clippers,105,Utah Jazz,111,Box Score,,18306,Vivint Smart Home Arena,,27022019_lac_uta
2019-02-28,10:30p,Utah Jazz,111,Denver Nuggets,104,Box Score,,19520,Pepsi Center,,28022019_uta_den
2019-02-28,8:00p,Miami Heat,118,Houston Rockets,121,Box Score,,18119,Toyota Center,,28022019_mia_hou
2019-02-28,7:00p,Minnesota Timberwolves,115,Indiana Pacers,122,Box Score,,17003,Bankers Life Fieldhouse,,28022019_min_ind
2019-02-28,7:30p,Cleveland Cavaliers,125,New York Knicks,118,Box Score,,17573,Madison Square Garden (IV),,28022019_cle_ny
2019-02-28,8:00p,Philadelphia 76ers,108,Oklahoma City Thunder,104,Box Score,,18203,Chesapeake Energy Arena,,28022019_phi_okc
2019-02-28,7:00p,Golden State Warriors,96,Orlando Magic,103,Box Score,,18846,Amway Center,,28022019_gs_orl
2019-03-01,7:30p,Chicago Bulls,168,Atlanta Hawks,161,Box Score,4OT,15267,State Farm Arena,,01032019_chi_atl
2019-03-01,8:00p,Washington Wizards,96,Boston Celtics,107,Box Score,,18624,TD Garden,,01032019_wsh_bos
2019-03-01,7:30p,Charlotte Hornets,123,Brooklyn Nets,112,Box Score,,15578,Barclays Center,,01032019_cha_bkn
2019-03-01,10:30p,Milwaukee Bucks,131,Los Angeles Lakers,120,Box Score,,18997,STAPLES Center,,01032019_mil_lal
2019-03-01,9:00p,New Orleans Pelicans,130,Phoenix Suns,116,Box Score,,14123,Talking Stick Resort Arena,,01032019_no_phx
2019-03-01,10:00p,Los Angeles Clippers,116,Sacramento Kings,109,Box Score,,17583,Golden 1 Center,,01032019_lac_sac
2019-03-01,8:00p,Portland Trail Blazers,117,Toronto Raptors,119,Box Score,,19800,Scotiabank Arena,,01032019_por_tor
2019-03-02,5:00p,Detroit Pistons,129,Cleveland Cavaliers,93,Box Score,,19432,Quicken Loans Arena,,02032019_det_cle
2019-03-02,8:30p,Memphis Grizzlies,111,Dallas Mavericks,81,Box Score,,20233,American Airlines Center,,02032019_mem_dal
2019-03-02,9:00p,New Orleans Pelicans,120,Denver Nuggets,112,Box Score,,19978,Pepsi Center,,02032019_no_den
2019-03-02,7:00p,Orlando Magic,117,Indiana Pacers,112,Box Score,,17923,Bankers Life Fieldhouse,,02032019_orl_ind
2019-03-02,7:30p,Brooklyn Nets,88,Miami Heat,117,Box Score,,19600,AmericanAirlines Arena,,02032019_bkn_mia
2019-03-02,8:30p,Golden State Warriors,120,Philadelphia 76ers,117,Box Score,,20624,Wells Fargo Center,,02032019_gs_phi
2019-03-02,9:00p,Los Angeles Lakers,109,Phoenix Suns,118,Box Score,,18055,Talking Stick Resort Arena,,02032019_lal_phx
2019-03-02,8:30p,Oklahoma City Thunder,102,San Antonio Spurs,116,Box Score,,18439,AT&T Center,,02032019_okc_sa
2019-03-02,9:00p,Milwaukee Bucks,111,Utah Jazz,115,Box Score,,18306,Vivint Smart Home Arena,,02032019_mil_uta
2019-03-03,3:30p,Houston Rockets,115,Boston Celtics,104,Box Score,,18624,TD Garden,,03032019_hou_bos
2019-03-03,1:00p,Portland Trail Blazers,118,Charlotte Hornets,108,Box Score,,18355,Spectrum Center,,03032019_por_cha
2019-03-03,3:30p,Atlanta Hawks,123,Chicago Bulls,118,Box Score,,20526,United Center,,03032019_atl_chi
2019-03-03,6:00p,Orlando Magic,93,Cleveland Cavaliers,107,Box Score,,19432,Quicken Loans Arena,,03032019_orl_cle
2019-03-03,6:00p,Toronto Raptors,107,Detroit Pistons,112,Box Score,OT,19161,Little Caesars Arena,,03032019_tor_det
2019-03-03,3:30p,New York Knicks,107,Los Angeles Clippers,128,Box Score,,19068,STAPLES Center,,03032019_ny_lac
2019-03-03,7:00p,Memphis Grizzlies,95,Oklahoma City Thunder,99,Box Score,,18203,Chesapeake Energy Arena,,03032019_mem_okc
2019-03-03,6:00p,Minnesota Timberwolves,121,Washington Wizards,135,Box Score,,17869,Capital One Arena,,03032019_min_wsh
2019-03-04,7:30p,Dallas Mavericks,88,Brooklyn Nets,127,Box Score,,17064,Barclays Center,,04032019_dal_bkn
2019-03-04,10:30p,Los Angeles Clippers,113,Los Angeles Lakers,105,Box Score,,18997,STAPLES Center,,04032019_lac_lal
2019-03-04,7:30p,Atlanta Hawks,113,Miami Heat,114,Box Score,,19600,AmericanAirlines Arena,,04032019_atl_mia
2019-03-04,9:00p,Milwaukee Bucks,105,Phoenix Suns,114,Box Score,,18055,Talking Stick Resort Arena,,04032019_mil_phx
2019-03-04,10:00p,New York Knicks,108,Sacramento Kings,115,Box Score,,17034,Golden 1 Center,,04032019_ny_sac
2019-03-04,8:30p,Denver Nuggets,103,San Antonio Spurs,104,Box Score,,18354,AT&T Center,,04032019_den_sa
2019-03-04,9:00p,New Orleans Pelicans,115,Utah Jazz,112,Box Score,,18306,Vivint Smart Home Arena,,04032019_no_uta
2019-03-05,10:30p,Boston Celtics,128,Golden State Warriors,95,Box Score,,19596,Oracle Arena,,05032019_bos_gs
2019-03-05,7:00p,Chicago Bulls,96,Indiana Pacers,105,Box Score,,15753,Bankers Life Fieldhouse,,05032019_chi_ind
2019-03-05,8:00p,Portland Trail Blazers,111,Memphis Grizzlies,120,Box Score,,13801,FedEx Forum,,05032019_por_mem
2019-03-05,8:00p,Oklahoma City Thunder,120,Minnesota Timberwolves,131,Box Score,,15728,Target Center,,05032019_okc_min
2019-03-05,7:00p,Orlando Magic,106,Philadelphia 76ers,114,Box Score,,20379,Wells Fargo Center,,05032019_orl_phi
2019-03-05,8:00p,Houston Rockets,107,Toronto Raptors,95,Box Score,,19800,Scotiabank Arena,,05032019_hou_tor
2019-03-06,7:30p,San Antonio Spurs,111,Atlanta Hawks,104,Box Score,,15208,State Farm Arena,,06032019_sa_atl
2019-03-06,7:30p,Cleveland Cavaliers,107,Brooklyn Nets,113,Box Score,,14177,Barclays Center,,06032019_cle_bkn
2019-03-06,7:00p,Miami Heat,91,Charlotte Hornets,84,Box Score,,18137,Spectrum Center,,06032019_mia_cha
2019-03-06,8:00p,Philadelphia 76ers,107,Chicago Bulls,108,Box Score,,19927,United Center,,06032019_phi_chi
2019-03-06,7:00p,Minnesota Timberwolves,114,Detroit Pistons,131,Box Score,,15240,Little Caesars Arena,,06032019_min_det
2019-03-06,10:30p,Denver Nuggets,115,Los Angeles Lakers,99,Box Score,,18997,STAPLES Center,,06032019_den_lal
2019-03-06,8:00p,Utah Jazz,114,New Orleans Pelicans,104,Box Score,,14681,Smoothie King Center,,06032019_uta_no
2019-03-06,9:00p,New York Knicks,96,Phoenix Suns,107,Box Score,,14427,Talking Stick Resort Arena,,06032019_ny_phx
2019-03-06,10:00p,Boston Celtics,111,Sacramento Kings,109,Box Score,,17583,Golden 1 Center,,06032019_bos_sac
2019-03-06,7:00p,Dallas Mavericks,123,Washington Wizards,132,Box Score,,16867,Capital One Arena,,06032019_dal_wsh
2019-03-07,8:00p,Indiana Pacers,98,Milwaukee Bucks,117,Box Score,,17884,Fiserv Forum,,07032019_ind_mil
2019-03-07,10:30p,Oklahoma City Thunder,129,Portland Trail Blazers,121,Box Score,OT,20037,Moda Center,,07032019_okc_por
2019-03-08,7:00p,Washington Wizards,111,Charlotte Hornets,112,Box Score,,18144,Spectrum Center,,08032019_wsh_cha
2019-03-08,8:00p,Detroit Pistons,112,Chicago Bulls,104,Box Score,,21048,United Center,,08032019_det_chi
2019-03-08,10:30p,Denver Nuggets,105,Golden State Warriors,122,Box Score,,19596,Oracle Arena,,08032019_den_gs
2019-03-08,8:00p,Philadelphia 76ers,91,Houston Rockets,107,Box Score,,18055,Toyota Center,,08032019_phi_hou
2019-03-08,10:30p,Oklahoma City Thunder,110,Los Angeles Clippers,118,Box Score,,17915,STAPLES Center,,08032019_okc_lac
2019-03-08,8:00p,Utah Jazz,104,Memphis Grizzlies,114,Box Score,,15407,FedEx Forum,,08032019_uta_mem
2019-03-08,8:00p,Cleveland Cavaliers,110,Miami Heat,126,Box Score,,19600,AmericanAirlines Arena,,08032019_cle_mia
2019-03-08,8:00p,Toronto Raptors,127,New Orleans Pelicans,104,Box Score,,17325,Smoothie King Center,,08032019_tor_no
2019-03-08,7:00p,Dallas Mavericks,106,Orlando Magic,111,Box Score,,19196,Amway Center,,08032019_dal_orl
2019-03-09,7:00p,Brooklyn Nets,114,Atlanta Hawks,112,Box Score,,16527,State Farm Arena,,09032019_bkn_atl
2019-03-09,8:30p,Boston Celtics,120,Los Angeles Lakers,107,Box Score,,18997,STAPLES Center,,09032019_bos_lal
2019-03-09,9:00p,Charlotte Hornets,114,Milwaukee Bucks,131,Box Score,,17996,Fiserv Forum,,09032019_cha_mil
2019-03-09,8:00p,Washington Wizards,130,Minnesota Timberwolves,135,Box Score,OT,14381,Target Center,,09032019_wsh_min
2019-03-09,12:00p,Sacramento Kings,102,New York Knicks,94,Box Score,,19812,Madison Square Garden (IV),,09032019_sac_ny
2019-03-09,10:00p,Phoenix Suns,120,Portland Trail Blazers,127,Box Score,,19851,Moda Center,,09032019_phx_por
2019-03-10,6:00p,New Orleans Pelicans,116,Atlanta Hawks,128,Box Score,,14337,State Farm Arena,,10032019_no_atl
2019-03-10,7:00p,Houston Rockets,94,Dallas Mavericks,93,Box Score,,20423,American Airlines Center,,10032019_hou_dal
2019-03-10,12:00p,Chicago Bulls,108,Detroit Pistons,131,Box Score,,19356,Little Caesars Arena,,10032019_chi_det
2019-03-10,8:30p,Phoenix Suns,115,Golden State Warriors,111,Box Score,,19596,Oracle Arena,,10032019_phx_gs
2019-03-10,6:00p,Orlando Magic,97,Memphis Grizzlies,105,Box Score,,16627,FedEx Forum,,10032019_orl_mem
2019-03-10,3:30p,Toronto Raptors,125,Miami Heat,104,Box Score,,19600,AmericanAirlines Arena,,10032019_tor_mia
2019-03-10,8:00p,New York Knicks,92,Minnesota Timberwolves,103,Box Score,,13806,Target Center,,10032019_ny_min
2019-03-10,3:30p,Indiana Pacers,89,Philadelphia 76ers,106,Box Score,,20636,Wells Fargo Center,,10032019_ind_phi
2019-03-10,8:00p,Milwaukee Bucks,114,San Antonio Spurs,121,Box Score,,18594,AT&T Center,,10032019_mil_sa
2019-03-11,7:30p,Detroit Pistons,75,Brooklyn Nets,103,Box Score,,17732,Barclays Center,,11032019_det_bkn
2019-03-11,7:00p,Toronto Raptors,101,Cleveland Cavaliers,126,Box Score,,19432,Quicken Loans Arena,,11032019_tor_cle
2019-03-11,8:00p,Charlotte Hornets,106,Houston Rockets,118,Box Score,,18055,Toyota Center,,11032019_cha_hou
2019-03-11,10:30p,Boston Celtics,115,Los Angeles Clippers,140,Box Score,,19068,STAPLES Center,,11032019_bos_lac
2019-03-11,9:00p,Oklahoma City Thunder,98,Utah Jazz,89,Box Score,,18306,Vivint Smart Home Arena,,11032019_okc_uta
2019-03-11,7:00p,Sacramento Kings,115,Washington Wizards,121,Box Score,,15012,Capital One Arena,,11032019_sac_wsh
2019-03-12,8:00p,Los Angeles Lakers,123,Chicago Bulls,107,Box Score,,21359,United Center,,12032019_lal_chi
2019-03-12,8:00p,San Antonio Spurs,112,Dallas Mavericks,105,Box Score,,20366,American Airlines Center,,12032019_sa_dal
2019-03-12,10:30p,Minnesota Timberwolves,107,Denver Nuggets,133,Box Score,,16874,Pepsi Center,,12032019_min_den
2019-03-12,7:00p,New York Knicks,98,Indiana Pacers,103,Box Score,,16679,Bankers Life Fieldhouse,,12032019_ny_ind
2019-03-12,10:30p,Portland Trail Blazers,125,Los Angeles Clippers,104,Box Score,,16686,STAPLES Center,,12032019_por_lac
2019-03-12,8:00p,Milwaukee Bucks,130,New Orleans Pelicans,113,Box Score,,15562,Smoothie King Center,,12032019_mil_no
2019-03-12,7:00p,Cleveland Cavaliers,99,Philadelphia 76ers,106,Box Score,,20420,Wells Fargo Center,,12032019_cle_phi
2019-03-13,7:30p,Memphis Grizzlies,111,Atlanta Hawks,132,Box Score,,15169,State Farm Arena,,13032019_mem_atl
2019-03-13,9:30p,Golden State Warriors,106,Houston Rockets,104,Box Score,,18122,Toyota Center,,13032019_gs_hou
2019-03-13,7:30p,Detroit Pistons,74,Miami Heat,108,Box Score,,19600,AmericanAirlines Arena,,13032019_det_mia
2019-03-13,7:00p,Brooklyn Nets,96,Oklahoma City Thunder,108,Box Score,,18203,Chesapeake Energy Arena,,13032019_bkn_okc
2019-03-13,10:00p,Utah Jazz,114,Phoenix Suns,97,Box Score,,18055,Talking Stick Resort Arena,,13032019_uta_phx
2019-03-13,7:00p,Orlando Magic,90,Washington Wizards,100,Box Score,,15107,Capital One Arena,,13032019_orl_wsh
2019-03-14,7:30p,Sacramento Kings,120,Boston Celtics,126,Box Score,,18624,TD Garden,,14032019_sac_bos
2019-03-14,10:30p,Dallas Mavericks,99,Denver Nuggets,100,Box Score,,19520,Pepsi Center,,14032019_dal_den
2019-03-14,7:00p,Oklahoma City Thunder,106,Indiana Pacers,108,Box Score,,16656,Bankers Life Fieldhouse,,14032019_okc_ind
2019-03-14,7:00p,Cleveland Cavaliers,91,Orlando Magic,120,Box Score,,18091,Amway Center,,14032019_cle_orl
2019-03-14,8:00p,Los Angeles Lakers,98,Toronto Raptors,111,Box Score,,19962,Scotiabank Arena,,14032019_lal_tor
2019-03-14,9:00p,Minnesota Timberwolves,100,Utah Jazz,120,Box Score,,18306,Vivint Smart Home Arena,,14032019_min_uta
2019-03-15,7:00p,Los Angeles Lakers,97,Detroit Pistons,111,Box Score,,20768,Little Caesars Arena,,15032019_lal_det
2019-03-15,8:00p,Phoenix Suns,102,Houston Rockets,108,Box Score,,18055,Toyota Center,,15032019_phx_hou
2019-03-15,10:30p,Chicago Bulls,121,Los Angeles Clippers,128,Box Score,,17404,STAPLES Center,,15032019_chi_lac
2019-03-15,8:00p,Milwaukee Bucks,113,Miami Heat,98,Box Score,,19600,AmericanAirlines Arena,,15032019_mil_mia
2019-03-15,8:00p,Portland Trail Blazers,122,New Orleans Pelicans,110,Box Score,,16117,Smoothie King Center,,15032019_por_no
2019-03-15,7:00p,Sacramento Kings,114,Philadelphia 76ers,123,Box Score,,20704,Wells Fargo Center,,15032019_sac_phi
2019-03-15,8:30p,New York Knicks,83,San Antonio Spurs,109,Box Score,,18354,AT&T Center,,15032019_ny_sa
2019-03-15,7:00p,Charlotte Hornets,116,Washington Wizards,110,Box Score,,19520,Capital One Arena,,15032019_cha_wsh
2019-03-16,12:30p,Atlanta Hawks,120,Boston Celtics,129,Box Score,,18624,TD Garden,,16032019_atl_bos
2019-03-16,8:30p,Cleveland Cavaliers,116,Dallas Mavericks,121,Box Score,,20347,American Airlines Center,,16032019_cle_dal
2019-03-16,9:00p,Indiana Pacers,100,Denver Nuggets,102,Box Score,,19856,Pepsi Center,,16032019_ind_den
